Reason 	Below 4 	4 	4.5 	5 	5.5 	6 	6.5 	7 	7.5 	8 	8.5 	9
For employment 	1 	1 	2 	5 	11 	18 	23 	22 	13 	4 	1 	0
For higher education extended course (three months or more) 	1 	2 	5 	12 	22 	23 	16 	10 	6 	3 	1 	0
For higher education short course (three months or less) 	2 	3 	7 	14 	23 	21 	14 	9 	5 	2 	0 	0
For immigration 	1 	1 	2 	7 	15 	19 	17 	16 	12 	8 	3 	0
For other education purposes 	1 	2 	6 	12 	20 	21 	16 	11 	7 	3 	1 	0
For personal reasons 	1 	2 	6 	13 	20 	21 	16 	11 	6 	2 	0 	0
For professional registration (NOT medical) 	1 	1 	2 	4 	6 	13 	20 	23 	18 	10 	3 	0
For registration as a dentist 	1 	2 	5 	7 	15 	16 	15 	16 	14 	5 	4 	0
For registration as a doctor 	0 	0 	1 	2 	4 	8 	16 	24 	25 	15 	4 	0
For registration as a nurse (including CGFNS) 	0 	0 	1 	2 	7 	16 	26 	27 	15 	5 	1 	0
(Other) 	2 	2 	6 	12 	19 	21 	16 	11 	7 	3 	1 	0
