 	Below 4 	4 	4.5 	5 	5.5 	6 	6.5 	7 	7.5 	8 	8.5 	9
Australia 	1 	1 	1 	4 	8 	11 	12 	13 	14 	16 	17 	3
Bangladesh 	1 	1 	4 	8 	14 	19 	18 	15 	11 	7 	2 	0
Brazil 	0 	1 	2 	5 	10 	17 	18 	18 	16 	11 	3 	0
Canada 	1 	1 	1 	2 	6 	16 	19 	17 	13 	12 	10 	1
China (People's Republic of) 	2 	3 	7 	13 	18 	21 	16 	11 	7 	3 	0 	0
Colombia 	1 	1 	5 	10 	17 	20 	17 	13 	10 	4 	1 	
Egypt 	1 	1 	2 	5 	13 	20 	20 	18 	13 	6 	1 	0
France 	1 	1 	2 	5 	10 	14 	16 	16 	16 	14 	5 	0
Germany 	1 	1 	1 	3 	5 	10 	14 	17 	17 	19 	10 	1
Hong Kong 	0 	1 	2 	7 	14 	19 	18 	17 	14 	7 	1 	0
India 	1 	1 	2 	5 	10 	17 	20 	19 	15 	9 	2 	0
Indonesia 	2 	4 	9 	13 	17 	16 	13 	10 	8 	6 	1 	0
Iran, Islamic Republic of 	1 	2 	4 	9 	14 	19 	18 	15 	11 	5 	1 	0
Italy 	1 	2 	5 	9 	15 	19 	18 	13 	9 	6 	2 	0
Japan 	2 	4 	10 	17 	23 	19 	11 	7 	4 	2 	1 	0
Jordan 	1 	1 	3 	8 	15 	20 	19 	15 	11 	5 	1 	0
Korea, Republic of 	2 	4 	10 	17 	24 	20 	11 	6 	4 	2 	1 	0
Lebanon 	1 	1 	2 	5 	10 	16 	18 	20 	15 	10 	3 	
Malaysia 	0 	1 	2 	4 	9 	12 	14 	18 	18 	14 	7 	0
Mexico 	1 	2 	4 	7 	14 	17 	17 	16 	12 	8 	2 	0
Nepal 	1 	2 	5 	10 	20 	21 	16 	12 	8 	4 	1 	0
Nigeria 	0 	0 	1 	2 	5 	13 	21 	24 	20 	11 	2 	0
Pakistan 	1 	1 	2 	4 	10 	17 	20 	19 	15 	8 	2 	0
Philippines 	1 	1 	4 	8 	14 	20 	21 	15 	10 	5 	1 	0
Poland 	1 	1 	2 	5 	11 	15 	17 	17 	17 	13 	3 	0
Russian Federation 	1 	1 	2 	5 	8 	14 	18 	18 	18 	12 	4 	0
Saudi Arabia 	24 	17 	18 	15 	10 	6 	4 	3 	2 	1 	0 	0
Singapore 		0 	0 	1 	2 	7 	11 	15 	20 	24 	18 	1
South Africa 	0 	0 	0 	1 	1 	5 	9 	14 	19 	26 	22 	3
Spain 	0 	0 	2 	5 	12 	18 	20 	17 	15 	8 	2 	0
Sri Lanka 	1 	1 	3 	6 	12 	18 	19 	18 	13 	7 	2 	0
Sudan 	1 	1 	5 	9 	16 	21 	19 	14 	9 	4 	1 	0
Syrian Arab Republic 	1 	2 	4 	7 	14 	21 	20 	15 	10 	5 	1 	0
Taiwan 	1 	2 	5 	15 	25 	22 	14 	8 	5 	2 	1 	
Thailand 	6 	7 	14 	23 	22 	13 	6 	4 	2 	1 	0 	0
Turkey 	1 	1 	4 	8 	14 	16 	16 	16 	13 	8 	2 	0
Ukraine 	2 	3 	7 	10 	14 	15 	16 	14 	11 	7 	2 	0
United States of America 	0 	0 	0 	1 	2 	3 	5 	8 	11 	20 	32 	17
Vietnam 	2 	3 	6 	11 	17 	18 	14 	12 	10 	6 	1 	
Zimbabwe 		0 	1 	1 	4 	10 	15 	23 	20 	18 	8 	0
