Language 	Below 4 	4 	4.5 	5 	5.5 	6 	6.5 	7 	7.5 	8 	8.5 	9
Afrikaans 	0 	0 	0 	2 	3 	8 	13 	17 	20 	23 	13 	1
Albanian 	3 	3 	7 	9 	15 	20 	18 	13 	9 	3 	1 	0
Arabic 	5 	4 	6 	9 	13 	17 	17 	14 	10 	5 	1 	0
Bengali 	1 	1 	3 	6 	12 	17 	18 	16 	13 	9 	3 	0
Chinese 	2 	3 	6 	12 	18 	20 	16 	12 	8 	3 	1 	0
English 	0 	0 	1 	2 	5 	11 	16 	19 	19 	16 	10 	2
Farsi 	1 	2 	4 	9 	14 	19 	18 	16 	11 	6 	1 	0
Filipino 	1 	1 	3 	6 	12 	20 	22 	16 	12 	6 	1 	0
French 	2 	2 	4 	7 	12 	14 	15 	14 	13 	11 	4 	0
German 	1 	1 	1 	3 	5 	10 	14 	17 	18 	19 	10 	1
Gujarati 	1 	1 	3 	8 	15 	21 	20 	16 	10 	5 	1 	0
Hindi 	0 	0 	1 	3 	7 	14 	19 	22 	19 	11 	3 	0
Ibo/lgbo 	0 	0 	1 	3 	7 	16 	23 	22 	17 	10 	2 	
Indonesian 	2 	4 	9 	13 	17 	16 	13 	10 	8 	6 	1 	0
Italian 	1 	2 	4 	9 	16 	20 	19 	13 	9 	6 	1 	0
Japanese 	2 	4 	10 	17 	23 	19 	11 	7 	4 	2 	1 	0
Kannada 	0 	0 	0 	3 	8 	16 	22 	22 	17 	10 	2 	0
Korean 	2 	4 	10 	17 	24 	20 	11 	6 	4 	2 	1 	0
Malayalam 	0 	0 	1 	4 	10 	17 	20 	20 	15 	8 	2 	0
Marathi 	0 	0 	1 	2 	7 	14 	21 	22 	18 	12 	4 	0
Nepali 	1 	2 	5 	10 	20 	21 	16 	12 	8 	4 	1 	0
Other 	1 	1 	3 	5 	8 	14 	21 	20 	15 	10 	3 	0
Pashto 	2 	1 	2 	6 	13 	19 	25 	17 	9 	4 	1 	0
Polish 	1 	1 	2 	5 	11 	15 	17 	16 	17 	13 	3 	0
Portuguese 	1 	1 	2 	5 	10 	17 	18 	18 	16 	11 	3 	0
Punjabi 	2 	2 	5 	9 	15 	20 	19 	15 	10 	4 	1 	0
Romanian 	1 	2 	4 	5 	8 	13 	18 	17 	16 	12 	4 	0
Russian 	1 	1 	3 	6 	10 	15 	17 	17 	16 	11 	3 	0
Shona 		0 	0 	1 	4 	11 	17 	24 	20 	17 	5 	0
Singhalese 	1 	1 	3 	6 	12 	19 	19 	17 	13 	7 	2 	0
Spanish 	1 	1 	3 	8 	14 	18 	18 	15 	12 	7 	2 	0
Tagalog 	1 	2 	5 	10 	16 	21 	20 	14 	8 	4 	1 	
Tamil 	1 	1 	2 	5 	11 	17 	20 	19 	14 	8 	2 	0
Telugu 	0 	0 	1 	4 	12 	21 	23 	19 	12 	6 	1 	0
Thai 	7 	7 	14 	23 	22 	13 	6 	4 	2 	1 	0 	0
Turkish 	1 	1 	4 	8 	14 	16 	16 	16 	13 	8 	2 	0
Ukrainian 	3 	4 	8 	10 	14 	15 	15 	14 	10 	6 	2 	0
Urdu 	1 	1 	2 	4 	10 	17 	20 	19 	15 	9 	2 	0
Vietnamese 	2 	3 	6 	11 	17 	18 	14 	12 	10 	6 	1 	0
Yoruba 	0 	0 	1 	2 	6 	15 	22 	23 	19 	9 	1 	0
